# Hour	Dry Bulb Temperature {C}	Direct Normal Radiation {Wh/m2}	Diffuse Horizontal Radiation {Wh/m2}
1	26.3	0	0
2	26.1	0	0
3	26.1	0	0
4	25.7	0	0
5	25.5	0	0
6	25.7	2	20
7	25.9	4	84
8	26.2	6	167
9	26	8	250
10	27	9	316
11	27.3	9	358
12	28.6	8	372
13	27.5	9	358
14	27.4	9	318
15	26.1	9	255
16	26.9	7	176
17	26.6	5	94
18	27	2	28
19	26.2	0	0
20	26	0	0
21	26	0	0
22	25.8	0	0
23	25.7	0	0
24	25	0	0
1	25.4	0	0
2	25.2	0	0
3	25.7	0	0
4	25.1	0	0
5	25.4	0	0
6	25.6	1	15
7	26.3	2	65
8	27	3	134
9	27.2	4	205
10	28.2	5	266
11	28.6	5	305
12	29.5	4	319
13	28.8	5	306
14	28.6	5	267
15	27.6	4	209
16	28	3	140
17	27.7	2	73
18	28	1	21
19	27.4	0	0
20	27.3	0	0
21	26.8	0	0
22	27.1	0	0
23	26.9	0	0
24	27	0	0
1	26.2	0	0
2	25.9	0	0
3	25.4	0	0
4	25.5	0	0
5	25.7	0	0
6	26	4	28
7	26.7	11	114
8	27.5	19	220
9	28.5	25	319
10	28.9	26	394
11	29.3	23	440
12	29.3	21	456
13	29.2	23	441
14	28.8	26	397
15	28	26	326
16	27.5	22	233
17	27	14	129
18	27	6	40
19	26.4	0	1
20	26.3	0	0
21	26	0	0
22	26.5	0	0
23	26.6	0	0
24	26.9	0	0
1	26.8	0	0
2	26.6	0	0
3	26.4	0	0
4	26.2	0	0
5	26.3	0	0
6	26.6	2	19
7	26.9	3	80
8	27.5	6	162
9	27.9	7	243
10	28.6	8	309
11	28.8	8	350
12	29	7	365
13	28.6	8	351
14	28.1	8	311
15	27.1	8	249
16	26.8	6	171
17	26.4	4	92
18	26.7	2	27
19	26.1	0	0
20	26.2	0	0
21	26	0	0
22	26.5	0	0
23	26.4	0	0
24	25.8	0	0
1	25.6	0	0
2	25	0	0
3	25.3	0	0
4	23.9	0	0
5	23.9	0	0
6	23.4	41	48
7	25.1	223	155
8	26.4	406	220
9	27.9	472	280
10	29.4	435	363
11	30.6	363	450
12	32.2	316	499
13	31.8	347	462
14	31.6	419	376
15	30.2	473	285
16	30.2	441	218
17	29.2	286	161
18	28.8	81	68
19	27.7	0	1
20	27.2	0	0
21	26.8	0	0
22	26.7	0	0
23	26.5	0	0
24	26.3	0	0
1	26	0	0
2	25.5	0	0
3	25.3	0	0
4	24.9	0	0
5	24.9	0	0
6	25	41	45
7	26.2	589	95
8	27.2	862	89
9	28.8	932	103
10	29.6	885	151
11	30.5	792	222
12	30.9	729	273
13	31.1	769	236
14	30.8	860	162
15	30	922	106
16	29.4	890	82
17	28.6	687	84
18	28.2	211	59
19	27.5	0	1
20	27.2	0	0
21	26.9	0	0
22	26.8	0	0
23	26.5	0	0
24	26	0	0
1	25.3	0	0
2	24.6	0	0
3	24.3	0	0
4	23.8	0	0
5	24	0	0
6	24.3	40	46
7	25.7	500	110
8	27.1	771	113
9	29	845	133
10	30	797	189
11	31	702	270
12	31.2	637	325
13	31.5	677	286
14	31	770	204
15	30.4	835	137
16	29.2	803	106
17	28.3	599	101
18	27.6	177	63
19	27.2	0	1
20	27	0	0
21	26.8	0	0
22	26.7	0	0
23	26.3	0	0
24	25.3	0	0
1	24.7	0	0
2	23.7	0	0
3	23.8	0	0
4	22.1	0	0
5	22	0	0
6	21	39	40
7	23.7	710	73
8	25.4	980	60
9	28.6	1047	68
10	29.1	1003	104
11	30.6	915	161
12	31	853	206
13	32	890	175
14	31.8	974	115
15	31.1	1033	72
16	30.2	1004	56
17	29.3	809	62
18	28.8	267	52
19	27.8	0	1
20	27.5	0	0
21	26.9	0	0
22	27	0	0
23	26.6	0	0
24	26.2	0	0
1	25.5	0	0
2	24.6	0	0
3	24	0	0
4	23.2	0	0
