Latitude (decimal degrees): -17.481
Longitude (decimal degrees): -68.863
Elevation (m): 3878.0
month,year
1,2015
2,2009
3,2010
4,2011
5,2014
6,2006
7,2006
8,2014
9,2012
10,2010
11,2010
12,2010
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20150101:0000,7.12,71.31,0.0,-0.0,0.0,210.9,3.96,232.0,62862.0
20150101:0100,5.63,77.17,0.0,-0.0,0.0,208.64,3.88,232.0,62953.0
20150101:0200,4.15,83.03,0.0,-0.0,0.0,206.37,3.8,232.0,63044.0
20150101:0300,2.67,88.89,0.0,-0.0,0.0,204.1,3.71,234.0,63031.0
20150101:0400,1.18,94.75,0.0,-0.0,0.0,201.83,3.63,235.0,63019.0
20150101:0500,-0.3,100.0,0.0,-0.0,0.0,199.56,3.55,237.0,63007.0
20150101:0600,-1.79,100.0,0.0,-0.0,0.0,197.29,3.47,236.0,62990.0
20150101:0700,-3.27,100.0,0.0,-0.0,0.0,195.03,3.39,236.0,62974.0
20150101:0800,-1.54,100.0,0.0,-0.0,0.0,198.4,2.11,236.0,62957.0
20150101:0900,0.81,90.18,0.0,-0.0,0.0,194.98,1.78,236.0,62980.0
20150101:1000,3.15,80.35,0.0,-0.0,0.0,191.57,1.45,236.0,63003.0
20150101:1100,5.5,70.53,99.0,90.79,81.0,188.15,1.12,237.0,63025.0
20150101:1200,7.93,57.6,452.0,908.08,69.0,192.73,1.35,229.0,62957.0
20150101:1300,10.37,44.67,710.0,1005.55,82.0,197.32,1.58,221.0,62889.0
20150101:1400,12.8,31.74,927.0,1052.05,93.0,201.9,1.81,212.0,62821.0
20150101:1500,13.96,34.35,1085.0,1077.69,99.0,205.15,1.52,221.0,62724.0
20150101:1600,15.12,36.97,1171.0,1088.77,101.0,208.4,1.23,229.0,62628.0
20150101:1700,16.28,39.58,1180.0,1088.12,101.0,211.65,0.94,238.0,62531.0
20150101:1800,15.92,41.37,934.0,319.9,633.0,215.9,1.1,233.0,62485.0
20150101:1900,15.57,43.16,887.0,453.2,509.0,220.15,1.27,229.0,62440.0
20150101:2000,15.22,44.95,755.0,816.63,201.0,224.4,1.43,224.0,62395.0
20150101:2100,12.53,55.75,60.0,0.0,60.0,224.22,1.72,224.0,62479.0
20150101:2200,9.84,66.54,79.0,0.0,79.0,224.03,2.0,223.0,62564.0
20150101:2300,7.16,77.34,7.0,0.0,7.0,223.85,2.29,223.0,62648.0
20150102:0000,6.22,83.66,0.0,-0.0,0.0,236.55,3.27,226.0,62761.0
20150102:0100,5.28,89.99,0.0,-0.0,0.0,249.25,4.26,230.0,62875.0
20150102:0200,4.34,96.31,0.0,-0.0,0.0,261.95,5.24,233.0,62988.0
20150102:0300,3.62,97.54,0.0,-0.0,0.0,271.83,4.6,234.0,63000.0
20150102:0400,2.89,98.77,0.0,-0.0,0.0,281.72,3.96,235.0,63013.0
20150102:0500,2.17,100.0,0.0,-0.0,0.0,291.6,3.32,236.0,63025.0
20150102:0600,1.5,100.0,0.0,-0.0,0.0,288.63,3.26,240.0,63017.0
20150102:0700,0.83,100.0,0.0,-0.0,0.0,285.67,3.19,244.0,63009.0
20150102:0800,0.16,100.0,0.0,-0.0,0.0,282.7,3.12,247.0,63000.0
20150102:0900,1.51,99.17,0.0,-0.0,0.0,278.92,3.05,271.0,63027.0
20150102:1000,2.86,98.34,0.0,-0.0,0.0,275.13,2.98,295.0,63054.0
20150102:1100,4.21,97.51,170.0,637.12,45.0,271.35,2.91,318.0,63081.0
20150102:1200,7.11,90.93,431.0,864.4,68.0,268.47,3.18,336.0,63048.0
20150102:1300,10.02,84.35,683.0,966.22,81.0,265.58,3.45,355.0,63015.0
20150102:1400,12.92,77.77,898.0,1019.38,91.0,262.7,3.72,13.0,62982.0
20150102:1500,13.69,81.23,1056.0,1048.89,97.0,270.63,3.43,7.0,62883.0
20150102:1600,14.46,84.7,648.0,78.36,571.0,278.57,3.14,2.0,62784.0
20150102:1700,15.24,88.16,1159.0,1067.63,100.0,286.5,2.84,356.0,62685.0
20150102:1800,14.52,90.68,78.0,0.0,78.0,290.65,3.83,353.0,62650.0
20150102:1900,13.8,93.19,235.0,20.36,218.0,294.8,4.82,349.0,62615.0
20150102:2000,13.09,95.71,155.0,13.24,146.0,298.95,5.81,345.0,62580.0
20150102:2100,11.52,95.77,170.0,14.41,163.0,303.12,4.44,290.0,62642.0
20150102:2200,9.95,95.84,10.0,0.0,10.0,307.28,3.07,234.0,62704.0
20150102:2300,8.38,95.9,1.0,0.0,1.0,311.45,1.7,178.0,62766.0
20150103:0000,7.95,95.96,0.0,-0.0,0.0,315.67,2.1,152.0,62829.0
20150103:0100,7.53,96.01,0.0,-0.0,0.0,319.88,2.5,126.0,62893.0
20150103:0200,7.1,96.07,0.0,-0.0,0.0,324.1,2.9,99.0,62957.0
20150103:0300,6.9,95.95,0.0,-0.0,0.0,324.47,2.17,132.0,62939.0
20150103:0400,6.69,95.83,0.0,-0.0,0.0,324.83,1.43,165.0,62920.0
20150103:0500,6.49,95.71,0.0,-0.0,0.0,325.2,0.7,198.0,62902.0
20150103:0600,6.16,94.73,0.0,-0.0,0.0,322.07,1.01,197.0,62900.0
20150103:0700,5.84,93.75,0.0,-0.0,0.0,318.93,1.31,197.0,62897.0
20150103:0800,5.51,92.77,0.0,-0.0,0.0,315.8,1.61,196.0,62895.0
20150103:0900,5.9,95.18,0.0,-0.0,0.0,314.38,1.71,191.0,62980.0
20150103:1000,6.29,97.59,0.0,-0.0,0.0,312.97,1.82,186.0,63064.0
20150103:1100,6.68,100.0,150.0,473.95,58.0,311.55,1.92,180.0,63149.0
20150103:1200,7.5,91.39,303.0,246.35,200.0,305.8,1.87,163.0,63163.0
20150103:1300,8.31,82.77,641.0,640.33,243.0,300.05,1.83,145.0,63178.0
20150103:1400,9.13,74.16,611.0,188.47,462.0,294.3,1.78,127.0,63192.0
20150103:1500,10.71,71.2,1065.0,1059.45,97.0,294.13,1.54,128.0,63101.0
20150103:1600,12.29,68.23,1155.0,1073.84,100.0,293.97,1.3,128.0,63011.0
20150103:1700,13.88,65.27,1169.0,1076.38,101.0,293.8,1.06,129.0,62920.0
20150103:1800,13.8,65.2,687.0,124.16,570.0,289.53,1.39,139.0,62862.0
20150103:1900,13.73,65.14,556.0,94.48,477.0,285.27,1.71,150.0,62805.0
20150103:2000,13.66,65.07,487.0,154.21,382.0,281.0,2.04,161.0,62747.0
20150103:2100,11.85,71.76,225.0,36.94,207.0,276.55,2.22,164.0,62823.0
20150103:2200,10.04,78.45,172.0,208.75,116.0,272.1,2.4,168.0,62900.0
20150103:2300,8.24,85.14,17.0,0.0,17.0,267.65,2.58,171.0,62976.0
20150104:0000,7.62,88.81,0.0,-0.0,0.0,274.73,2.96,162.0,63048.0
20150104:0100,6.99,92.48,0.0,-0.0,0.0,281.82,3.34,152.0,63120.0
20150104:0200,6.37,96.15,0.0,-0.0,0.0,288.9,3.72,142.0,63192.0
20150104:0300,5.91,97.43,0.0,-0.0,0.0,286.15,3.5,91.0,63155.0
20150104:0400,5.44,98.72,0.0,-0.0,0.0,283.4,3.27,40.0,63118.0
20150104:0500,4.97,100.0,0.0,-0.0,0.0,280.65,3.05,349.0,63081.0
20150104:0600,4.7,99.86,0.0,-0.0,0.0,277.95,2.74,3.0,63077.0
20150104:0700,4.44,99.73,0.0,-0.0,0.0,275.25,2.43,17.0,63073.0
20150104:0800,4.17,99.59,0.0,-0.0,0.0,272.55,2.12,31.0,63068.0
20150104:0900,5.23,98.54,0.0,-0.0,0.0,273.32,2.67,30.0,63106.0
20150104:1000,6.28,97.5,0.0,-0.0,0.0,274.08,3.22,30.0,63143.0
