Latitude (decimal degrees): -23.581
Longitude (decimal degrees): 115.532
Elevation (m): 296.0
month,year
1,2012
2,2015
3,2015
4,2008
5,2008
6,2007
7,2008
8,2012
9,2007
10,2007
11,2016
12,2009
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20120101:0000,28.62,30.44,338.6,476.61,133.0,359.06,5.16,196.0,97473.0
20120101:0100,29.12,30.03,499.0,343.72,283.0,360.95,4.8,196.0,97431.0
20120101:0200,29.61,29.62,832.0,888.71,127.0,362.83,4.44,195.0,97390.0
20120101:0300,30.11,29.21,974.0,907.36,144.0,364.72,4.08,204.0,97316.0
20120101:0400,30.6,28.8,1070.0,960.87,124.0,366.61,3.72,213.0,97242.0
20120101:0500,31.1,28.38,1080.0,946.02,136.0,368.5,3.36,222.0,97168.0
20120101:0600,31.59,27.97,1026.0,934.1,135.0,370.38,3.0,223.0,97129.0
20120101:0700,32.09,27.56,900.0,888.36,140.0,372.27,2.64,225.0,97090.0
20120101:0800,32.98,20.38,729.0,856.92,121.0,376.7,4.04,227.0,97052.0
20120101:0900,31.61,23.0,493.0,675.13,138.0,371.63,4.16,225.0,97103.0
20120101:1000,30.25,25.61,200.0,182.99,142.0,366.57,4.27,223.0,97155.0
20120101:1100,28.88,28.23,47.0,123.54,35.0,361.5,4.39,221.0,97206.0
20120101:1200,27.7,32.04,0.0,-0.0,0.0,359.17,5.07,218.0,97229.0
20120101:1300,26.53,35.86,0.0,-0.0,0.0,356.83,5.76,215.0,97251.0
20120101:1400,25.35,39.67,0.0,-0.0,0.0,354.5,6.44,211.0,97274.0
20120101:1500,24.51,44.05,0.0,-0.0,0.0,352.1,5.95,209.0,97251.0
20120101:1600,23.67,48.42,0.0,-0.0,0.0,349.7,5.46,207.0,97229.0
20120101:1700,22.82,52.8,0.0,-0.0,0.0,347.3,4.97,205.0,97206.0
20120101:1800,22.37,56.13,0.0,-0.0,0.0,346.93,4.63,204.0,97238.0
20120101:1900,21.91,59.46,0.0,-0.0,0.0,346.57,4.29,204.0,97271.0
20120101:2000,21.46,62.79,0.0,-0.0,0.0,346.2,3.96,203.0,97303.0
20120101:2100,22.4,60.9,0.0,-0.0,0.0,350.05,4.01,203.0,97351.0
20120101:2200,23.34,59.0,0.0,-0.0,0.0,353.9,4.07,204.0,97399.0
20120101:2300,24.29,57.11,16.0,0.0,16.0,357.75,4.12,204.0,97448.0
20120102:0000,26.71,49.04,222.0,9.31,218.0,365.3,3.49,213.0,97425.0
20120102:0100,29.13,40.96,417.0,167.52,312.0,372.85,2.86,223.0,97403.0
20120102:0200,31.56,32.89,670.0,409.06,346.0,380.4,2.23,232.0,97380.0
20120102:0300,32.7,29.19,973.0,907.05,144.0,390.1,3.09,244.0,97312.0
20120102:0400,33.84,25.49,1035.0,855.53,193.0,399.8,3.95,256.0,97245.0
20120102:0500,34.98,21.79,997.0,713.45,285.0,409.5,4.81,269.0,97177.0
20120102:0600,34.93,21.45,987.0,815.21,209.0,409.72,5.05,266.0,97148.0
20120102:0700,34.89,21.1,861.0,759.06,211.0,409.93,5.29,264.0,97119.0
20120102:0800,34.84,20.76,594.0,405.32,306.0,410.15,5.53,261.0,97090.0
20120102:0900,33.46,23.51,336.0,151.81,256.0,405.65,5.4,253.0,97145.0
20120102:1000,32.09,26.25,294.0,751.3,55.0,401.15,5.27,244.0,97200.0
