Latitude (decimal degrees): 28.908
Longitude (decimal degrees): -2.988
Elevation (m): 450.0
month,year
1,2010
2,2014
3,2010
4,2011
5,2011
6,2013
7,2009
8,2010
9,2015
10,2015
11,2013
12,2014
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20100101:0000,8.07,53.87,0.0,-0.0,0.0,266.66,2.61,258.0,96210.0
20100101:0100,8.29,56.17,0.0,-0.0,0.0,270.52,2.63,259.0,96172.0
20100101:0200,8.51,58.46,0.0,-0.0,0.0,274.39,2.65,259.0,96134.0
20100101:0300,8.73,60.76,0.0,-0.0,0.0,278.26,2.67,261.0,96153.0
20100101:0400,8.95,63.06,0.0,-0.0,0.0,282.12,2.69,262.0,96172.0
20100101:0500,9.17,65.35,0.0,-0.0,0.0,285.99,2.71,264.0,96191.0
20100101:0600,9.38,67.65,0.0,-0.0,0.0,289.85,2.73,267.0,96254.0
20100101:0700,9.6,69.95,0.0,-0.0,0.0,293.72,2.75,270.0,96317.0
20100101:0800,10.64,57.71,62.0,0.0,62.0,279.45,1.81,272.0,96381.0
20100101:0900,13.22,49.7,367.0,747.26,94.0,284.53,1.64,275.0,96374.0
20100101:1000,15.8,41.7,528.0,839.68,110.0,289.62,1.48,277.0,96368.0
20100101:1100,18.39,33.69,641.0,913.48,108.0,294.7,1.31,280.0,96362.0
20100101:1200,19.44,31.79,678.0,908.33,118.0,297.7,1.33,272.0,96311.0
20100101:1300,20.49,29.89,657.0,933.31,102.0,300.7,1.35,265.0,96260.0
20100101:1400,21.54,27.99,556.0,862.54,108.0,303.7,1.37,258.0,96210.0
20100101:1500,21.4,29.79,402.0,775.52,95.0,302.75,1.42,239.0,96235.0
20100101:1600,21.26,31.6,213.0,645.22,63.0,301.8,1.48,220.0,96260.0
20100101:1700,21.11,33.4,1.0,24.77,0.0,300.85,1.53,201.0,96286.0
20100101:1800,19.84,36.91,0.0,-0.0,0.0,300.18,1.24,188.0,96339.0
20100101:1900,18.56,40.41,0.0,-0.0,0.0,299.52,0.95,175.0,96393.0
20100101:2000,17.28,43.92,0.0,-0.0,0.0,298.85,0.66,162.0,96447.0
20100101:2100,16.34,45.28,0.0,-0.0,0.0,295.88,0.8,136.0,96460.0
20100101:2200,15.39,46.65,0.0,-0.0,0.0,292.92,0.95,111.0,96472.0
20100101:2300,14.45,48.01,0.0,-0.0,0.0,289.95,1.09,86.0,96485.0
20100102:0000,12.56,51.33,0.0,-0.0,0.0,285.47,1.65,65.0,96491.0
20100102:0100,10.67,54.65,0.0,-0.0,0.0,280.98,2.21,45.0,96497.0
20100102:0200,8.78,57.97,0.0,-0.0,0.0,276.5,2.77,24.0,96504.0
20100102:0300,7.51,60.7,0.0,-0.0,0.0,273.4,2.76,26.0,96535.0
20100102:0400,6.23,63.43,0.0,-0.0,0.0,270.3,2.74,27.0,96567.0
20100102:0500,4.95,66.16,0.0,-0.0,0.0,267.2,2.73,29.0,96599.0
20100102:0600,6.36,60.59,0.0,-0.0,0.0,265.85,2.3,37.0,96655.0
20100102:0700,7.77,55.03,0.0,-0.0,0.0,264.5,1.88,44.0,96712.0
20100102:0800,9.18,49.46,61.0,0.0,61.0,263.15,1.45,52.0,96769.0
20100102:0900,12.51,43.42,371.0,774.9,88.0,269.45,1.73,66.0,96763.0
20100102:1000,15.84,37.37,532.0,855.27,106.0,275.75,2.02,79.0,96756.0
20100102:1100,19.18,31.33,642.0,912.38,109.0,282.05,2.3,92.0,96750.0
20100102:1200,19.73,29.77,680.0,909.9,118.0,286.37,2.04,94.0,96693.0
