Latitude (decimal degrees): 35.632
Longitude (decimal degrees): 38.626
Elevation (m): 310.0
month,year
1,2016
2,2007
3,2015
4,2010
5,2010
6,2014
7,2014
8,2013
9,2010
10,2008
11,2009
12,2009
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20160101:0000,6.35,90.31,0.0,-0.0,0.0,285.98,3.54,224.0,97301.0
20160101:0100,6.14,91.02,0.0,-0.0,0.0,289.86,3.44,228.0,97288.0
20160101:0200,5.94,91.74,0.0,-0.0,0.0,293.73,3.33,233.0,97275.0
20160101:0300,5.73,92.45,0.0,-0.0,0.0,297.61,3.23,232.0,97285.0
20160101:0400,5.52,93.16,0.0,-0.0,0.0,301.49,3.13,231.0,97294.0
20160101:0500,5.31,93.88,0.0,0.0,0.0,305.37,3.02,230.0,97304.0
20160101:0600,5.11,94.59,0.0,0.0,0.0,309.24,2.92,231.0,97275.0
20160101:0700,4.9,95.3,0.0,0.0,0.0,313.12,2.81,233.0,97246.0
20160101:0800,7.36,80.1,0.0,0.0,0.0,304.0,5.31,234.0,97217.0
20160101:0900,6.74,77.98,22.0,21.24,11.0,296.8,5.64,242.0,97192.0
20160101:1000,6.11,75.85,0.0,0.0,0.0,289.6,5.97,250.0,97166.0
20160101:1100,5.48,73.73,0.0,0.0,0.0,282.4,6.3,258.0,97140.0
20160101:1200,4.41,75.06,4.0,5.82,2.0,274.35,6.58,265.0,97256.0
20160101:1300,3.34,76.38,0.0,0.0,0.0,266.3,6.86,272.0,97372.0
20160101:1400,2.27,77.71,1.0,0.0,1.0,258.25,7.14,279.0,97487.0
20160101:1500,1.8,72.21,0.0,-0.0,0.0,250.73,7.23,280.0,97577.0
20160101:1600,1.32,66.7,0.0,-0.0,0.0,243.22,7.31,280.0,97667.0
20160101:1700,0.85,61.2,0.0,-0.0,0.0,235.7,7.39,280.0,97757.0
20160101:1800,0.29,58.24,0.0,-0.0,0.0,230.77,7.27,280.0,97818.0
20160101:1900,-0.26,55.29,0.0,-0.0,0.0,225.83,7.14,279.0,97879.0
20160101:2000,-0.81,52.33,0.0,-0.0,0.0,220.9,7.02,278.0,97940.0
20160101:2100,-1.25,51.61,0.0,-0.0,0.0,218.63,6.97,278.0,97995.0
20160101:2200,-1.69,50.89,0.0,-0.0,0.0,216.37,6.91,277.0,98049.0
20160101:2300,-2.12,50.17,0.0,-0.0,0.0,214.1,6.86,277.0,98104.0
20160102:0000,-2.04,51.26,0.0,-0.0,0.0,213.62,6.73,275.0,98130.0
20160102:0100,-1.96,52.36,0.0,-0.0,0.0,213.13,6.6,274.0,98155.0
20160102:0200,-1.87,53.45,0.0,-0.0,0.0,212.65,6.47,273.0,98181.0
20160102:0300,-1.47,51.57,0.0,-0.0,0.0,212.28,6.38,274.0,98290.0
20160102:0400,-1.06,49.7,0.0,-0.0,0.0,211.92,6.29,275.0,98400.0
20160102:0500,-0.65,47.82,6.0,33.14,3.0,211.55,6.19,276.0,98509.0
20160102:0600,0.62,42.51,26.0,50.95,13.0,215.13,6.5,280.0,98541.0
20160102:0700,1.89,37.21,258.95,336.59,128.7,218.72,6.8,284.0,98573.0
20160102:0800,3.16,31.9,108.0,113.22,54.0,222.3,7.1,287.0,98605.0
20160102:0900,3.45,30.14,376.5,393.02,172.55,228.17,6.99,288.0,98589.0
20160102:1000,3.74,28.39,498.0,488.14,249.0,234.03,6.88,288.0,98573.0
20160102:1100,4.02,26.63,500.0,554.27,250.0,239.9,6.77,288.0,98557.0
20160102:1200,3.45,33.57,300.0,433.79,150.0,238.9,5.83,290.0,98602.0
20160102:1300,2.88,40.51,60.0,148.88,30.0,237.9,4.88,292.0,98647.0
20160102:1400,2.31,47.45,1.0,0.0,1.0,236.9,3.93,293.0,98692.0
20160102:1500,1.49,53.13,0.0,-0.0,0.0,236.72,3.62,290.0,98731.0
20160102:1600,0.67,58.82,0.0,-0.0,0.0,236.53,3.31,287.0,98769.0
20160102:1700,-0.14,64.5,0.0,-0.0,0.0,236.35,3.01,284.0,98808.0
20160102:1800,-0.39,63.6,0.0,-0.0,0.0,238.83,2.74,272.0,98821.0
20160102:1900,-0.63,62.71,0.0,-0.0,0.0,241.32,2.46,260.0,98833.0
20160102:2000,-0.87,61.81,0.0,-0.0,0.0,243.8,2.19,249.0,98846.0
20160102:2100,-0.64,60.8,0.0,-0.0,0.0,255.1,1.86,237.0,98833.0
20160102:2200,-0.42,59.8,0.0,-0.0,0.0,266.4,1.53,226.0,98821.0
20160102:2300,-0.19,58.79,0.0,-0.0,0.0,277.7,1.2,215.0,98808.0
20160103:0000,0.16,64.1,0.0,-0.0,0.0,283.53,1.43,186.0,98814.0
20160103:0100,0.51,69.41,0.0,-0.0,0.0,289.37,1.65,157.0,98821.0
20160103:0200,0.86,74.72,0.0,-0.0,0.0,295.2,1.88,129.0,98827.0
20160103:0300,1.18,72.35,0.0,-0.0,0.0,297.83,2.11,126.0,98853.0
20160103:0400,1.51,69.97,0.0,-0.0,0.0,300.47,2.35,123.0,98878.0
