# Year	\$ / kW(Electrolyzer)	\$ / kW(PV)	kg($H_{2}$) / kWh(Electricity)
2.003000000000000000e+03	3.739449650490000295e+03	1.193469991499999924e+04	1.677415999999999976e-02
2.004000000000000000e+03	3.739449650490000295e+03	1.241208791100000053e+04	1.687568000000000054e-02
2.004000000000000000e+03	6.907460895840000376e+03	1.241208791100000053e+04	1.687568000000000054e-02
2.005000000000000000e+03	3.739449650490000295e+03	1.273034657700000025e+04	1.697720000000000132e-02
2.005000000000000000e+03	2.708770183890000226e+03	1.273034657700000025e+04	1.697720000000000132e-02
2.008000000000000000e+03	1.761933814710000206e+03	1.034340659400000004e+04	1.728175999999999671e-02
2.008000000000000000e+03	2.862128250090000165e+03	1.034340659400000004e+04	1.728175999999999671e-02
2.008000000000000000e+03	4.789926680820000911e+03	1.034340659400000004e+04	1.728175999999999671e-02
2.009000000000000000e+03	2.390762861760000305e+03	7.160819949000000634e+03	1.738327999999999748e-02
2.010000000000000000e+03	2.367966808409999885e+03	6.134250000000000000e+03	1.748479999999999826e-02
2.010000000000000000e+03	2.182081414320000022e+03	6.134250000000000000e+03	1.748479999999999826e-02
2.013000000000000000e+03	3.764116621050000504e+03	2.088999999000000116e+03	1.778935999999999712e-02
2.013000000000000000e+03	1.259637554880000152e+03	2.088999999000000116e+03	1.778935999999999712e-02
2.014000000000000000e+03	2.575258999829999993e+03	1.924500000000000000e+03	1.789087999999999790e-02
2.014000000000000000e+03	2.734412902170000052e+03	1.924500000000000000e+03	1.789087999999999790e-02
2.014000000000000000e+03	2.239355651639999905e+03	1.924500000000000000e+03	1.789087999999999790e-02
2.014000000000000000e+03	1.853721158820000255e+03	1.924500000000000000e+03	1.789087999999999790e-02
2.014000000000000000e+03	1.539557010780000155e+03	1.924500000000000000e+03	1.789087999999999790e-02
2.014000000000000000e+03	3.582226331190000110e+03	1.924500000000000000e+03	1.789087999999999790e-02
2.014000000000000000e+03	2.340126656430000367e+03	1.924500000000000000e+03	1.789087999999999790e-02
2.014000000000000000e+03	1.343613391650000040e+03	1.924500000000000000e+03	1.789087999999999790e-02
2.014000000000000000e+03	1.679516738730000043e+03	1.924500000000000000e+03	1.789087999999999790e-02
2.014000000000000000e+03	3.359033478570000170e+03	1.924500000000000000e+03	1.789087999999999790e-02
2.015000000000000000e+03	3.796243659630000366e+03	1.789500000000000000e+03	1.799239999999999867e-02
2.015000000000000000e+03	2.233084505730000274e+03	1.789500000000000000e+03	1.799239999999999867e-02
2.015000000000000000e+03	1.123616901690000077e+03	1.789500000000000000e+03	1.799239999999999867e-02
2.015000000000000000e+03	1.757894187270000202e+03	1.789500000000000000e+03	1.799239999999999867e-02
2.015000000000000000e+03	2.233084505730000274e+03	1.789500000000000000e+03	1.799239999999999867e-02
2.015000000000000000e+03	2.858348167290000220e+03	1.789500000000000000e+03	1.799239999999999867e-02
2.015000000000000000e+03	2.233084505730000274e+03	1.789500000000000000e+03	1.799239999999999867e-02
2.015000000000000000e+03	3.125296813650000331e+03	1.789500000000000000e+03	1.799239999999999867e-02
2.016000000000000000e+03	2.220000000000000000e+03	1.651500000000000000e+03	1.809391999999999945e-02
2.016000000000000000e+03	1.233874890000000050e+03	1.651500000000000000e+03	1.809391999999999945e-02
2.016000000000000000e+03	2.220000000000000000e+03	1.651500000000000000e+03	1.809391999999999945e-02
2.016000000000000000e+03	1.424149643670000160e+03	1.651500000000000000e+03	1.809391999999999945e-02
2.016000000000000000e+03	1.110000000000000000e+03	1.651500000000000000e+03	1.809391999999999945e-02
2.016000000000000000e+03	2.109000000000000000e+03	1.651500000000000000e+03	1.809391999999999945e-02
2.017000000000000000e+03	1.332000000000000227e+03	1.386500000999999884e+03	1.819543999999999676e-02
2.017000000000000000e+03	1.720500000000000227e+03	1.386500000999999884e+03	1.819543999999999676e-02
2.017000000000000000e+03	1.387500000000000227e+03	1.386500000999999884e+03	1.819543999999999676e-02
2.017000000000000000e+03	1.447038759420000133e+03	1.386500000999999884e+03	1.819543999999999676e-02
2.017000000000000000e+03	1.498500000000000227e+03	1.386500000999999884e+03	1.819543999999999676e-02
2.018000000000000000e+03	1.110000000000000000e+03	1.234500000000000000e+03	1.829695999999999753e-02
2.020000000000000000e+03	1.387500000000000227e+03	8.180000000000000000e+02	1.849999999999999908e-02
2.020000000000000000e+03	1.276500000000000000e+03	8.180000000000000000e+02	1.849999999999999908e-02
2.020000000000000000e+03	1.119677825819999953e+03	8.180000000000000000e+02	1.849999999999999908e-02
2.020000000000000000e+03	3.739449650490000181e+02	8.180000000000000000e+02	1.849999999999999908e-02
2.020000000000000000e+03	1.004721584799000084e+03	8.180000000000000000e+02	1.849999999999999908e-02
2.020000000000000000e+03	8.217750979710000365e+02	8.180000000000000000e+02	1.849999999999999908e-02
2.020000000000000000e+03	1.195381430880000153e+03	8.180000000000000000e+02	1.849999999999999908e-02
2.020000000000000000e+03	2.009119379490000028e+03	8.180000000000000000e+02	1.849999999999999908e-02
