# Hour of year	PV Power Ratio
0	0
1	0
2	0
3	0
4	0
5	0.011844501
6	0.051663382
7	0.111637671
8	0.182040651
9	0.248003452
10	0.302744838
11	0.336800735
12	0.313196023
13	0.258533359
14	0.193904221
15	0.123117908
16	0.060967974
17	0.016685785
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0.008449851
30	0.039016263
31	0.088012578
32	0.14709666
33	0.206813209
34	0.256014551
35	0.287317535
36	0.265763783
37	0.215193309
38	0.155855246
39	0.095616433
40	0.045555425
41	0.012029358
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0.017594665
54	0.074557139
55	0.155070327
56	0.24059852
57	0.316083964
58	0.374784283
59	0.416185481
60	0.388628313
61	0.329959214
62	0.256190725
63	0.172640206
64	0.089522093
65	0.026578671
66	0.001415736
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0.011294071
78	0.048270215
79	0.107889412
80	0.174947819
81	0.240337961
82	0.293688419
83	0.329481518
84	0.305194797
85	0.251576475
86	0.18793416
87	0.118963983
88	0.058889021
89	0.016163965
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0
101	0.060687121
102	0.285680181
103	0.492073276
104	0.592766145
105	0.627486929
106	0.649239154
107	0.673146527
108	0.653911624
109	0.626262853
110	0.597264342
111	0.5182629
112	0.344346807
113	0.106755035
114	0.001407929
115	0
116	0
117	0
118	0
119	0
120	0
121	0
122	0
123	0
124	0
125	0.058828029
126	0.571262879
127	0.798902097
128	0.852298429
129	0.837963877
130	0.814535751
131	0.814613956
132	0.80927001
133	0.822139971
134	0.839883323
135	0.809239395
136	0.646457123
137	0.216414057
138	0.001408846
139	0
140	0
141	0
142	0
143	0
144	0
145	0
146	0
147	0
148	0
149	0.058621731
150	0.503367387
151	0.737601936
152	0.801294811
153	0.79423829
154	0.779075159
155	0.784832177
156	0.77574512
157	0.781913562
158	0.790652141
159	0.75380725
160	0.582005678
161	0.189231111
162	0.001410318
163	0
164	0
165	0
166	0
167	0
168	0
169	0
170	0
171	0
172	0
173	0.055495785
174	0.671900704
175	0.88725829
176	0.922078121
177	0.898624234
178	0.862508086
179	0.854517053
180	0.850400813
181	0.871299898
182	0.899118244
183	0.882590925
184	0.735991061
185	0.26154144
186	0.001406654
187	0
188	0
189	0
190	0
191	0
192	0
193	0
194	0
195	0
196	0
197	0.054638855
198	0.628849521
199	0.852773208
200	0.896751639
201	0.874320617
202	0.843694558
203	0.837671716
204	0.833270077
205	0.851166527
206	0.877042931
207	0.854214599
208	0.70184531
209	0.243374112
210	0.001404685
211	0
212	0
213	0
214	0
215	0
216	0
217	0
218	0
219	0
220	0
221	0.018620593
222	0.077440693
223	0.163273029
224	0.250873238
225	0.327369494
226	0.386160147
227	0.425684505
228	0.398396718
229	0.340682364
230	0.268886851
231	0.183029578
232	0.096945678
233	0.029129109
234	0.001420908
235	0
236	0
237	0
238	0
239	0
240	0
241	0
242	0
243	0
244	0
245	0.053604433
246	0.310787935
247	0.531164386
248	0.631209864
249	0.656310338
250	0.669478578
251	0.692122695
252	0.672666623
253	0.650863373
254	0.629517654
255	0.561980586
256	0.38643387
257	0.120221359
258	0.00140071
259	0
260	0
261	0
262	0
263	0
264	0
265	0
266	0
267	0
268	0
269	0.031136383
270	0.138256258
271	0.274792875
272	0.384559155
273	0.457868012
274	0.512652939
275	0.551976582
276	0.526765588
277	0.472457549
278	0.404371078
279	0.308831958
280	0.179428293
281	0.060008513
282	0.001414627
283	0
284	0
285	0
286	0
287	0
288	0
289	0
290	0
291	0
292	0
293	0.051343503
294	0.403792509
295	0.643406333
296	0.727058518
297	0.734932208
298	0.731146647
299	0.742184017
300	0.728654019
301	0.721793536
302	0.721069363
303	0.669302827
304	0.494664494
305	0.157633517
306	0.001402942
307	0
308	0
309	0
310	0
311	0
312	0
313	0
314	0
315	0
316	0
317	0.049284641
318	0.524156134
319	0.763835833
320	0.826034167
321	0.814219313
322	0.794037194
323	0.792856192
324	0.786495495
325	0.794334882
326	0.8111857
327	0.77904234
328	0.617086335
329	0.207063542
330	0.001399206
331	0
332	0
333	0
334	0
335	0
336	0
