Latitude (decimal degrees): 38.295
Longitude (decimal degrees): -5.358
Elevation (m): 516.0
month,year
1,2011
2,2009
3,2011
4,2009
5,2012
6,2014
7,2013
8,2014
9,2007
10,2013
11,2008
12,2012
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20110101:0000,6.73,0.5,0.0,-0.0,0.0,301.49,2.08,240.0,95844.0
20110101:0100,7.09,0.5,0.0,-0.0,0.0,309.51,2.1,247.0,95850.0
20110101:0200,7.44,0.5,0.0,-0.0,0.0,317.53,2.11,253.0,95856.0
20110101:0300,7.8,0.5,0.0,-0.0,0.0,325.55,2.13,256.0,95878.0
20110101:0400,8.15,0.5,0.0,-0.0,0.0,333.57,2.14,259.0,95900.0
20110101:0500,8.51,0.5,0.0,-0.0,0.0,341.59,2.16,262.0,95922.0
20110101:0600,8.86,0.5,0.0,-0.0,0.0,349.61,2.17,264.0,95960.0
20110101:0700,9.21,0.5,0.0,-0.0,0.0,357.63,2.19,266.0,95997.0
20110101:0800,9.37,98.86,39.0,141.23,28.0,339.95,2.4,268.0,96035.0
20110101:0900,9.52,96.34,117.0,59.68,103.0,334.43,2.43,277.0,96041.0
20110101:1000,9.67,93.81,187.0,58.53,166.0,328.92,2.46,286.0,96047.0
20110101:1100,9.81,91.29,301.0,180.98,221.0,323.4,2.48,295.0,96054.0
20110101:1200,10.14,88.01,291.0,108.64,239.0,324.57,2.63,299.0,95994.0
20110101:1300,10.47,84.72,285.0,111.55,233.0,325.73,2.77,303.0,95934.0
20110101:1400,10.8,81.44,253.0,130.75,200.0,326.9,2.91,307.0,95875.0
20110101:1500,10.26,85.37,83.0,0.0,83.0,326.47,2.86,307.0,95894.0
20110101:1600,9.71,89.3,86.0,119.84,67.0,326.03,2.8,306.0,95913.0
20110101:1700,9.17,93.23,0.0,-0.0,0.0,325.6,2.74,306.0,95931.0
20110101:1800,8.65,95.49,0.0,-0.0,0.0,320.15,2.56,301.0,95963.0
20110101:1900,8.13,97.74,0.0,-0.0,0.0,314.7,2.38,296.0,95994.0
20110101:2000,7.61,100.0,0.0,-0.0,0.0,309.25,2.19,291.0,96025.0
20110101:2100,7.37,100.0,0.0,-0.0,0.0,305.65,2.25,295.0,96010.0
20110101:2200,7.12,100.0,0.0,-0.0,0.0,302.05,2.31,298.0,95994.0
20110101:2300,6.87,100.0,0.0,-0.0,0.0,298.45,2.37,302.0,95978.0
20110102:0000,6.42,100.0,0.0,-0.0,0.0,296.75,2.25,311.0,95963.0
20110102:0100,5.96,100.0,0.0,-0.0,0.0,295.05,2.13,319.0,95947.0
20110102:0200,5.51,100.0,0.0,-0.0,0.0,293.35,2.01,327.0,95931.0
20110102:0300,5.9,100.0,0.0,-0.0,0.0,303.17,2.2,331.0,95956.0
20110102:0400,6.3,100.0,0.0,-0.0,0.0,312.98,2.39,335.0,95981.0
20110102:0500,6.69,100.0,0.0,-0.0,0.0,322.8,2.58,339.0,96007.0
20110102:0600,6.98,100.0,0.0,-0.0,0.0,328.37,2.6,343.0,96035.0
20110102:0700,7.26,100.0,0.0,-0.0,0.0,333.93,2.63,348.0,96063.0
20110102:0800,7.54,100.0,45.0,231.72,27.0,339.5,2.65,352.0,96091.0
20110102:0900,7.81,97.83,187.0,426.1,87.0,345.17,2.77,353.0,96101.0
20110102:1000,8.08,95.65,240.0,183.72,174.0,350.83,2.89,353.0,96110.0
20110102:1100,8.35,93.48,425.0,670.61,128.0,356.5,3.01,353.0,96119.0
20110102:1200,9.23,86.48,505.0,904.39,71.0,343.97,3.09,344.0,96035.0
20110102:1300,10.11,79.47,175.0,4.28,173.0,331.43,3.18,335.0,95950.0
20110102:1400,10.99,72.47,343.0,434.62,166.0,318.9,3.27,326.0,95866.0
20110102:1500,10.08,76.87,190.0,155.33,143.0,310.15,2.87,323.0,95894.0
20110102:1600,9.16,81.28,126.0,485.0,48.0,301.4,2.48,321.0,95922.0
20110102:1700,8.25,85.68,0.0,-0.0,0.0,292.65,2.08,318.0,95950.0
20110102:1800,7.46,89.08,0.0,-0.0,0.0,286.45,2.49,320.0,95988.0
20110102:1900,6.68,92.47,0.0,-0.0,0.0,280.25,2.9,322.0,96025.0
20110102:2000,5.89,95.87,0.0,-0.0,0.0,274.05,3.31,324.0,96063.0
20110102:2100,5.32,97.25,0.0,-0.0,0.0,268.32,3.2,335.0,96060.0
20110102:2200,4.74,98.62,0.0,-0.0,0.0,262.58,3.08,345.0,96057.0
20110102:2300,4.17,100.0,0.0,-0.0,0.0,256.85,2.97,355.0,96054.0
20110103:0000,3.76,100.0,0.0,-0.0,0.0,255.27,2.75,357.0,96032.0
20110103:0100,3.36,100.0,0.0,-0.0,0.0,253.68,2.54,358.0,96010.0
20110103:0200,2.95,100.0,0.0,-0.0,0.0,252.1,2.33,359.0,95988.0
20110103:0300,2.58,100.0,0.0,-0.0,0.0,251.77,2.13,16.0,95994.0
20110103:0400,2.21,100.0,0.0,-0.0,0.0,251.43,1.94,32.0,96000.0
20110103:0500,1.84,100.0,0.0,-0.0,0.0,251.1,1.74,48.0,96007.0
20110103:0600,2.11,99.19,0.0,-0.0,0.0,261.28,1.53,54.0,96025.0
20110103:0700,2.38,98.37,0.0,-0.0,0.0,271.47,1.32,61.0,96044.0
20110103:0800,2.65,97.56,42.0,180.46,28.0,281.65,1.12,68.0,96063.0
20110103:0900,4.34,95.5,175.0,336.32,96.0,288.08,1.13,80.0,96079.0
20110103:1000,6.03,93.43,274.0,308.49,163.0,294.52,1.14,92.0,96094.0
